	0	1	2	3	4	5	6
47	48	DMT-dC(Ac)-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000121	0.35	2024-05-20	23:17:17	1848570232
48	49	DMT-dG(dmf)-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000122	0.404	2024-05-20	23:17:17	1848570232
49	50	DMT-dT-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000123	0.416	2024-05-20	23:17:17	1848570232
50	51	DMT-dA(Bz)-CE phosphoramidite (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000120	0.98	2024-05-20	23:18:19	1848570232
51	52	DMT-dC(Ac)-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000121	1.069	2024-05-20	23:18:19	1848570232
52	53	DMT-dG(dmf)-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000122	0.944	2024-05-20	23:18:19	1848570232
53	54	DMT-dT-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000123	0.974	2024-05-20	23:18:19	1848570232
54	55	PR1-002. 2`-O-4`-C-Locked-A(Bz) Phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000124	0.15	2024-05-20	23:18:19	1848570232
55	56	PR3-009 2`-O-4`-C-Locked-5-Me-C(Bz) Phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000126	0.15	2024-05-20	23:18:19	1848570232
56	57	PR2-005 2`-O-4`-C-Locked-G(dmf) Phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000125	0.15	2024-05-20	23:18:19	1848570232
57	58	PR4-001. 2`-O-4`-C-Locked-T Phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000127	0.15	2024-05-20	23:18:19	1848570232
58	59	HEX Dye Amidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000128	0.15	2024-05-20	23:18:19	1848570232
59	60	DMT-dA(Bz)-CE phosphoramidite (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000120	1.432	2024-05-20	23:20:10	1848570232
60	61	DMT-dC(Ac)-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000121	1.342	2024-05-20	23:20:10	1848570232
61	62	DMT-dG(dmf)-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000122	1.426	2024-05-20	23:20:10	1848570232
62	63	DMT-dT-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000123	1.063	2024-05-20	23:20:10	1848570232
63	64	PR1-002. 2`-O-4`-C-Locked-A(Bz) Phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000124	0.15	2024-05-20	23:20:10	1848570232
64	65	PR3-009 2`-O-4`-C-Locked-5-Me-C(Bz) Phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000126	0.15	2024-05-20	23:20:10	1848570232
65	66	PR2-005 2`-O-4`-C-Locked-G(dmf) Phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000125	0.15	2024-05-20	23:20:10	1848570232
66	67	PR4-001. 2`-O-4`-C-Locked-T Phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000127	0.15	2024-05-20	23:20:10	1848570232
67	68	HEX Dye Amidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000128	0.15	2024-05-20	23:20:10	1848570232
68	69	R6G фосфорамидит, 6-изомер (Lumiprobe)	INIT_BASE_CODE_OLIGO_LAB_0000131	0.15	2024-05-20	23:20:10	1848570232
69	70	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-05-22	09:15:18	1783121115
70	71	Фильтр колонны FS001-1	INIT_BASE_CODE_OLIGO_LAB_0000089	2.0	2024-05-22	09:19:19	1783121115
71	72	DMT-dA(Bz)-CE phosphoramidite (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000120	1.562	2024-05-22	10:37:32	1848570232
72	73	DMT-dC(Ac)-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000121	1.111	2024-05-22	10:37:32	1848570232
73	74	DMT-dG(dmf)-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000122	1.628	2024-05-22	10:37:32	1848570232
74	75	DMT-dT-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000123	1.925	2024-05-22	10:37:32	1848570232
75	76	PR1-002. 2`-O-4`-C-Locked-A(Bz) Phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000124	0.15	2024-05-22	10:37:32	1848570232
